pRaf1
Raf1
Raf1a
pMST2
MST2
pMpR
MpR
MaF1A
MF1A
F1A
MST2a
LATS1
LATS1a
MEK
pMEK
ppMEK
ERK
pERK
ppERK
RaMk
RapMk
