"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-1.66767594810964,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-3.36812416938105,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,-1.04463508834163,"a_tox_Cz2x2"
"",0,0,1,0,""
"1",0,0,0,0,""
"2",0,0,0,0,""
"X1",-1,-0.22,0,0,""
"Y1",0.42,-1,-0.56,0,""
"Z1",-0.5,0.26,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
