"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-0.92054796995996,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,0.580163084520963,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,-0.0416442117040033,"a_toz_Cz2x2"
"",0,1,0,1.23010214691047,"a_toy_Cy2x2"
"1",0,0,1,0.532971779074507,"a_toz_Cz2y2"
"2",1,0,0,0,""
"X1",-1,0,-0.41,0,""
"Y1",0.87,-1,0,0,""
"Z1",0,0.41,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
