"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,0.563056410248234,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-1.35045206261635,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,0,""
"",0,0,0,0,""
"1",0,0,1,0,""
"2",0,0,0,0,""
"X1",-1,0.72,-0.19,0,""
"Y1",0.42,-1,0,0,""
"Z1",-0.86,1.02,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
