"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-31.060974664493,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-1.09699200968452,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,-0.439741267102908,"a_toz_Cz2x2"
"",0,1,0,-0.252874954908949,"a_tox_Cy2x2"
"1",1,0,1,-708.195279425107,"a_toy_Cz2y2"
"2",1,1,0,0,""
"X1",-1,0.03,-0.74,0,""
"Y1",0.16,-1,0.09,0,""
"Z1",0.14,0.16,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
