"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,1.19680881331922,"a_toy_Cy2x2"
"Y",0.43,-1,-0.46,0.284391604479328,"a_toz_Cz2x2"
"Z",-0.37,0.17,-1,0.71593992711548,"a_toz_Cz2y2"
"",0,0,0,0,""
"1",0,0,0,0,""
"2",1,0,0,0,""
"X1",-1,-0.53,-1.11,0,""
"Y1",1.57,-1,-0.49,0,""
"Z1",0,0.27,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
