"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,5.51575919447443,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-1.01806303935482,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,3.43348885532815,"a_tox_Cz2x2"
"",0,0,1,0,""
"1",0,0,1,0,""
"2",0,0,0,0,""
"X1",-1,1.08,0,0,""
"Y1",0.4,-1,0,0,""
"Z1",-1.32,1.94,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
