"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-0.537276384040167,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,0.337760129623938,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,2.3157518251421,"a_toz_Cz2x2"
"",0,1,0,0.972523959128427,"a_toy_Cy2x2"
"1",0,0,1,-0.65699284340779,"a_toz_Cz2y2"
"2",0,0,0,0,""
"X1",-1,0,-0.44,0,""
"Y1",0.91,-1,0,0,""
"Z1",1.12,-0.32,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
