"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,1.57592557689873,"a_toy_Cy2x2"
"Y",0.43,-1,-0.46,-0.147929057235461,"a_toz_Cz2x2"
"Z",-0.37,0.17,-1,-0.74357353106707,"a_toz_Cz2y2"
"",0,0,0,0,""
"1",0,0,0,0,""
"2",1,0,0,0,""
"X1",-1,-0.63,-1.16,0,""
"Y1",1.57,-1,-0.47,0,""
"Z1",0,0.19,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
