"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.38,-0.67,-0.8278357273936,"a_tox_Cx2y1"
"Y",0.31,-1,-0.83,-2.56431679757175,"a_toy_Cy2z1"
"Z",-0.38,0.06,-1,0.505958960916133,"a_toz_Cz2x2"
"",0,1,0,-0.93301301396738,"a_toy_Cy2x2"
"1",0,0,0,0.915945911639802,"a_toz_Cz2y2"
"2",1,0,0,0,""
"X1",-1,0,-0.44,0,""
"Y1",1.68,-1,-1.07,0,""
"Z1",0,0.4,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
