"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-0.85727345433272,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-1.29659907960509,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,-1.03810464050383,"a_toz_Cz2x2"
"",0,1,0,0,""
"1",0,0,1,0,""
"2",1,0,0,0,""
"X1",-1,0,-0.35,0,""
"Y1",0.31,-1,0,0,""
"Z1",0,0.24,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
