"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.38,-0.67,-0.650775851561088,"a_tox_Cx2y1"
"Y",0.31,-1,-0.83,7.1853129477921,"a_toy_Cy2z1"
"Z",-0.38,0.06,-1,-6.25658600879744,"a_toz_Cz2x2"
"",0,1,1,-2.62085095589991,"a_toy_Cy2x2"
"1",0,0,0,-7.11083134366,"a_toz_Cz2y2"
"2",0,0,0,0,""
"X1",-1,-0.11,-0.12,0,""
"Y1",0,-1,0.87,0,""
"Z1",0,1.15,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
