"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-1.31212380223989,"a_toy_Cy2x2"
"Y",0.43,-1,-0.46,0.493421793933011,"a_toz_Cz2x2"
"Z",-0.37,0.17,-1,-1.14920179025231,"a_toz_Cz2y2"
"",0,0,0,0,""
"1",0,0,0,0,""
"2",0,0,0,0,""
"X1",-1,-0.55,-0.97,0,""
"Y1",1.04,-1,-0.47,0,""
"Z1",0.27,0.18,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
