"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.38,-0.67,1.2941493529746,"a_tox_Cx2y1"
"Y",0.31,-1,-0.83,-4.26127349796341,"a_toy_Cy2z1"
"Z",-0.38,0.06,-1,-1.3158257717517,"a_toz_Cz2x2"
"",0,0,0,0,""
"1",0,0,0,0,""
"2",1,1,0,0,""
"X1",-1,0.75,0.69,0,""
"Y1",1.34,-1,-0.92,0,""
"Z1",0.03,0.03,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
