"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-1.01694712732205,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-1.29288607526383,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,0,""
"",0,1,0,0,""
"1",0,0,1,0,""
"2",0,0,0,0,""
"X1",-1,0,-0.31,0,""
"Y1",0.3,-1,0,0,""
"Z1",-0.45,0.41,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
