"","X","Y","Z","pars_opt","names(pars_opt)"
"X",-1,-0.31,-0.52,-0.797063240731882,"a_tox_Cx2y1"
"Y",0.43,-1,-0.46,-1.43915902205208,"a_toy_Cy2z1"
"Z",-0.37,0.17,-1,-0.77458780177805,"a_toz_Cz2x2"
"",0,1,0,-9.02308636307506,"a_toy_Cy2x2"
"1",0,0,1,-11.6404102342575,"a_toz_Cz2y2"
"2",1,1,0,0,""
"X1",-1,0.01,-0.35,0,""
"Y1",0.35,-1,-0.04,0,""
"Z1",0.08,0.19,-1,0,""
"10",0,0,0,0,""
"11",0,0,0,0,""
"12",0,0,0,0,""
